"UID","Xsugg","Ysugg","Type","Unit","Walker","Pass_Grid","Section","ObjNo","Object","Material","MaxSize","Comments","MN-LN","FN-EB1","EB2","FMin","FPal","SPal","TPal","PPal-PG","Geometric","Archaic","Class","Hell","ERom","MRom","LRom","EByz","MByz","EVen","MVen","LVen","Recent","Other","TOTAL"
"8192-29-1-15-O2",709422.60,3971012.60,"tract","8192",29,"1","15",2,"lump","slag",2.50,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"8192-29-1-15-O3",709418.00,3971013.80,"tract","8192",29,"1","15",3,"lump","slag",1.70,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"8194-20-1-45-O1",709405.20,3971046.60,"tract","8194",20,"1","45",1,"lump","slag",3.10,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"8194-20-1-85-O1",709431.80,3971047.20,"tract","8194",20,"1","85",1,"lump","slag",3.20,"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"8194-27-1-25-O1",709396.10,3971028.50,"tract","8194",27,"1","25",1,"lump","slag",5.50,"85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"8194-27-1-5-O1",709388.60,3971028.60,"tract","8194",27,"1","5",1,"lump","slag",2.00,"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"8195-27-1-5-O1",709382.60,3971191.50,"tract","8195",27,"1","5",1,"lump","slag",3.80,"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"8425-2075-S-1",708424.30,3972070.70,"grid","8425-2075",29,"27","S",1,"handle?","glass",1.70,"pale green piece with ridge.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"8805-9925-V-O1",708805.00,3979925.00,"grid","8805-9925",2,"2","V",1,"quern","sandstone",13.40,"two flat surfaces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"9055-0805-S-O1",709055.00,3970805.00,"grid","9055-0805",14,"43","S",1,"lump","slag",3.20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"9065-0835-S-O1",709065.00,3970835.00,"grid","9065-0835",104,"43","S",1,"quern","conglomerate",10.20,"one flat surface and one concave underside.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"9085-0695-S-O1",709085.00,3970695.00,"grid","9085-0695",2,"50","S",1,"quern","conglomerate",12.50,"one flat surface.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"9805-8695-S-1",709803.50,3968694.30,"grid","9805-8695",29,"39","S",1,"lump","slag",3.10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"9815-8685-V-1",709813.00,3968689.60,"grid","9815-8685",29,"39","V",1,"lump","slag",2.60,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"9815-8695-S-1",709811.40,3968698.00,"grid","9815-8695",28,"39","S",1,"lump","slag",3.20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"9825-8685-V-1",709820.60,3968682.50,"grid","9825-8685",28,"39","V",1,"body fragment","glass",2.50,"pale green and seems to be made in two distinct layers.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
