"SID","Xsugg","Ysugg","Type","Comments","LocErr"
451,709584.4,3967996.9,"shelter",,10
452,708427.9,3970554.6,"church",,10
453,709229.8,3970705.7,"church",,10
454,707056.1,3973555.4,"church",,10
455,706555.5,3973105.5,"church",,10
456,706579,3973227.1,"church",,10
457,708124.7,3970525.1,"church",,10
458,708154.6,3971051.3,"church",,10
459,705862.1,3974291.9,"threshing floor",,10
460,706653.4,3972606.8,"press","rock-cut",10
461,707249.3,3972291.1,"windmill",,10
462,706648.5,3973272.5,"watermill","""Andronicos""",10
463,705960.5,3972270.1,"gun emplacement",,10
464,705954,3972276.1,"gun emplacement",,10
465,705944.9,3972284.1,"gun emplacement",,10
466,707140.9,3972714.5,"windmill",,10
467,707180.3,3972444.6,"windmill",,10
468,708661.2,3971524.9,"windmill",,10
469,706462.2,3972409.8,"wine press",,100
470,706888.7,3972315.3,"wine press",,100
471,707338,3973828.7,"wine press",,100
472,706729.7,3971730.4,"wine press",,100
473,706761.7,3971758.2,"wine press",,100
474,706474.4,3972746.5,"wine press",,100
475,706412.8,3972828.6,"wine press",,100
476,706362.3,3972786.4,"wine press",,100
477,706436.6,3972366.4,"wine press",,100
478,706580.9,3972314.8,"wine press",,100
479,706457.4,3971853.1,"wine press",,100
480,708557.7,3971407.7,"wine press",,100
481,707057.7,3972137.3,"wine press",,100
482,706445.5,3972915.2,"wine press",,100
483,706512.6,3972961.8,"wine press",,100
484,706608.6,3972889.3,"wine press",,100
485,706588.3,3973044.2,"wine press",,100
486,706518.2,3973038.5,"wine press",,100
487,706682.4,3971932,"wine press",,100
488,709385.2,3971008.8,"wine press",,100
489,706554.7,3973353.3,"wine press",,100
490,706555.7,3973351,"wine press",,100
491,706646.8,3973208.1,"wine press",,100
492,709244.4,3970192.3,"wine press",,100
493,709283.2,3970187.9,"wine press",,100
494,709233.6,3970331.9,"wine press",,100
495,707852.4,3971454.7,"wine press",,100
496,708319.8,3970401.6,"wine press",,100
497,708270.7,3970463.6,"wine press",,100
498,708032.5,3970776.6,"wine press",,100
499,708140.2,3970827.8,"wine press",,100
500,708203.4,3970495.9,"wine press",,100
501,708237.8,3970443.4,"wine press",,100
502,705741.5,3972721.2,"possible limekiln",,100
503,709337.9,3968851.8,"possible limekiln",,100
504,708004.4,3969345.4,"possible limekiln",,100
505,706280,3973800.2,"possible limekiln",,100
506,709335.9,3971435.6,"possible limekiln",,100
507,708197.2,3972854.6,"possible limekiln",,100
508,708255.7,3973173.9,"possible limekiln",,100
509,709550,3970546.5,"possible limekiln",,100
